BLDG #,ADDRESS #,STREET,NUMBER OF UNITS (HIP OR GABLE),BLD TYPE,MANUFACTURE,CLASS,COLOR,RE-ROOF COMPLETION,2025 INSP Rating,REPAIR COST,Vent Type (#),Vent Replacement,Partial Gutters,Full Gutter Replacement,DESCRIPTION,Claim Number,,
62,"23580, 90, 23600",E JAMISON PL,3  (G) 1,GABLE,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Feb-14,4,,Power 3 ,"$2,752",,," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT. ",,,
63,"23610, 20, 30",E JAMISON PL,3  (H) 1,HIP,CERTAINTEED,LANDMARK IR,WEATHERWOOD,Feb-14,4,,Power 3 ,"$2,658",,," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT. ",,,
64,"23551, 61, 71",E JAMISON PL,3  (G) 1,GABLE,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Feb-14,2,"$3,949",Power 3 ,"$2,752",,$904,REPLACE 9 SQUARES OF DAMAGED SHINGLES AND NECESSARY RIDGE CAPS+ REMOVE 3 POWER VENTS AND INSTALL RIDGE VENT + REPLACE 118' OF GUTTERS,CR0921635,,
65,"23581, 91, 23601",E JAMISON PL,3  (H) 1,HIP,CERTAINTEED,LANDMARK IR,BURNT SIENNA,Mar-14,3,,Power 3 ,"$2,658",,," REMOVE 3 POWER VENTS, INSTALL RIDGE VENT. ",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
